LOINC Code;LOINC Label                                                                                                              ;Relation;Local Code;Local Label                                                    ;UCUM Unit      ;Unit Conversion        ;Local Unit;Molecular weight (g/mol);OK/Not OK;Comments
14666-2   ;Copper [Moles/time] in 24 hour Urine                                                                                     ;=       ;578       ;Kupfer Ausscheidung.Sammelurin .berechnet                      ;nmol/(24.h)    ;x*1000.0               ;µmol/d    ;                        ;         ;
28540-3   ;Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume]                                                      ;=       ;336       ;MCHC.EDTA .berechnet                                           ;g/dL           ;x*1.0                  ;g/dl      ;64458                   ;         ;
59467-1   ;Erythrocyte mean corpuscular hemoglobin concentration [Moles/volume]                                                     ;=       ;336       ;MCHC.EDTA .berechnet                                           ;mmol/L         ;x*0.15513978094262929  ;g/dl      ;64458                   ;         ;
26485-3   ;Monocytes/100 leukocytes in Blood                                                                                        ;=       ;457       ;Monozyten relativ.EDTA .                                       ;%              ;x*1.0                  ;%         ;                        ;         ;
30428-7   ;Erythrocyte mean corpuscular volume [Entitic volume]                                                                     ;=       ;337       ;MCV.EDTA .Widerstandsmessung                                   ;fL             ;x*1.0                  ;fl        ;                        ;         ;
24472-3   ;Platelet function (closure time) collagen+ADP induced [Time] in Blood                                                    ;=       ;5478      ;ADP.PFA .Verschlußzeit                                         ;s              ;x*1.0                  ;sec.      ;                        ;         ;
26515-7   ;Platelets [#/volume] in Blood                                                                                            ;=       ;338       ;Thrombozyten.EDTA .Widerstandsmessung                          ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
26474-7   ;Lymphocytes [#/volume] in Blood                                                                                          ;=       ;339       ;Lymphozyten absolut.EDTA .berechnet                            ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
21527-7   ;Sodium [Mass/time] in 24 hour Urine                                                                                      ;=       ;10551     ;Natrium Ausscheidung.Sammelurin .berechnet                     ;mg/(24.h)      ;x*22.99                ;mmol/d    ;                        ;         ;
2956-1    ;Sodium [Moles/time] in 24 hour Urine                                                                                     ;=       ;10551     ;Natrium Ausscheidung.Sammelurin .berechnet                     ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
51720-1   ;Potassium [Mass/time] in 24 hour Urine                                                                                   ;=       ;10553     ;Kalium Ausscheidung.Sammelurin .berechnet                      ;g/(24.h)       ;x*0.0390983            ;mmol/d    ;                        ;         ;
2829-0    ;Potassium [Moles/time] in 24 hour Urine                                                                                  ;=       ;10553     ;Kalium Ausscheidung.Sammelurin .berechnet                      ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
6874-2    ;Calcium [Mass/time] in 24 hour Urine                                                                                     ;=       ;10555     ;Calcium Ausscheidung.Sammelurin .berechnet                     ;mg/(24.h)      ;x*40.078               ;mmol/d    ;                        ;         ;
14637-3   ;Calcium [Moles/time] in 24 hour Urine                                                                                    ;=       ;10555     ;Calcium Ausscheidung.Sammelurin .berechnet                     ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
52789-5   ;Clotting time of Blood by Thromboelastography                                                                            ;=       ;5374      ;Heptem Clottingtime.CitratVB .TEG                              ;s              ;x*1.0                  ;sec.      ;                        ;         ;
52768-9   ;Clot formation [Time] in Blood by Thromboelastography                                                                    ;=       ;5375      ;Heptem Clotformation Time.CitratVB .TEG                        ;s              ;x*1.0                  ;sec.      ;                        ;         ;
52780-4   ;Maximum clot firmness.extrinsic coagulation system activated.platelets inhibited [Length] in Blood by Thromboelastography;=       ;5377      ;Fibtem Maximal Clotfirmnes.CitratVB .TEG                       ;mm             ;x*1.0                  ;mm        ;                        ;         ;
2695-5    ;Osmolality of Urine                                                                                                      ;=       ;581       ;Osmolalität.Sammelurin .Gefrierpkterniedriegung                ;mosm/kg        ;x*1.0                  ;mosm/kg   ;                        ;         ;
52768-9   ;Clot formation [Time] in Blood by Thromboelastography                                                                    ;=       ;5370      ;Intem Clotformation Time.CitratVB .TEG                         ;s              ;x*1.0                  ;sec.      ;                        ;         ;
736-9     ;Lymphocytes/100 leukocytes in Blood by Automated count                                                                   ;=       ;340       ;Lymphozyten relativ.EDTA .optisch, Lasertechnol.               ;%              ;x*1.0                  ;%         ;                        ;         ;
19343-3   ;Amphetamine [Presence] in Urine by Screen method                                                                         ;=       ;583       ;Amphetamin-Screening.Spontanurin .Immunchromatographie         ;               ;                       ;          ;                        ;         ;
2162-6    ;Creatinine [Mass/time] in 24 hour Urine                                                                                  ;=       ;10569     ;Kreatinin Ausscheidung.Sammelurin .berechnet                   ;g/(24.h)       ;x*0.11311788           ;mmol/d    ;                        ;         ;
14684-5   ;Creatinine [Moles/time] in 24 hour Urine                                                                                 ;=       ;10569     ;Kreatinin Ausscheidung.Sammelurin .berechnet                   ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
26499-4   ;Neutrophils [#/volume] in Blood                                                                                          ;=       ;341       ;neutrophile Granulozyten absolut.EDTA .berechnet               ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
26511-6   ;Neutrophils/100 leukocytes in Blood                                                                                      ;=       ;342       ;neutrophile Granulozyten relativ.EDTA .optisch, Lasertechnol.  ;%              ;x*1.0                  ;%         ;                        ;         ;
26444-0   ;Basophils [#/volume] in Blood                                                                                            ;=       ;344       ;Basophile absolut.EDTA .berechnet                              ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
19295-5   ;Opiates [Presence] in Urine by Screen method                                                                             ;=       ;586       ;Opiat-Screening.Spontanurin .Immunchromatographie              ;               ;                       ;          ;                        ;         ;
30180-4   ;Basophils/100 leukocytes in Blood                                                                                        ;=       ;345       ;Basophile relativ.EDTA .optisch, Lasertechnol.                 ;%              ;x*1.0                  ;%         ;                        ;         ;
20408-1   ;Leukocytes [#/volume] in Urine by Test strip                                                                             ;=       ;587       ;Leukozyten/Teststreifen.Sammelurin .Teststreifen               ;/uL            ;Unknown conversion     ;          ;                        ;         ;
26449-9   ;Eosinophils [#/volume] in Blood                                                                                          ;=       ;346       ;Eosinophile absolut.EDTA .berechnet                            ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
26450-7   ;Eosinophils/100 leukocytes in Blood                                                                                      ;=       ;347       ;Eosinophile relativ.EDTA .optisch, Lasertechnol.               ;%              ;x*1.0                  ;%         ;                        ;         ;
26484-6   ;Monocytes [#/volume] in Blood                                                                                            ;=       ;348       ;Monozyten absolut.EDTA .berechnet                              ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
5905-5    ;Monocytes/100 leukocytes in Blood by Automated count                                                                     ;=       ;349       ;Monozyten relativ.EDTA .optisch, Lasertechnol.                 ;%              ;x*1.0                  ;%         ;                        ;         ;
2777-1    ;Phosphate [Mass/volume] in Serum or Plasma                                                                               ;=       ;10561     ;Phosphat (Plasma) z. Berechnung. .                             ;mg/dL          ;x*9.49714              ;mmol/l    ;94,9714                 ;         ;
14879-1   ;Phosphate [Moles/volume] in Serum or Plasma                                                                              ;=       ;10561     ;Phosphat (Plasma) z. Berechnung. .                             ;mmol/L         ;x*1.0                  ;mmol/l    ;94,9714                 ;         ;
50058-7   ;Phosphate renal clearance in collected for unspecified duration                                                          ;=       ;10560     ;Phosphatclearance.Sammelurin .berechnet                        ;               ;Unknown conversion     ;ml/min    ;                        ;         ;
2351-5    ;Glucose [Mass/time] in 24 hour Urine                                                                                     ;=       ;10563     ;Glucose Ausscheidung.Sammelurin .berechnet                     ;g/(24.h)       ;x*0.001                ;mg/d      ;180,15588               ;         ;
15077-1   ;Glucose [Moles/time] in 24 hour Urine                                                                                    ;=       ;10563     ;Glucose Ausscheidung.Sammelurin .berechnet                     ;mmol/(24.h)    ;x*3.310925E-4          ;mg/d      ;180,15588               ;         ;
2350-7    ;Glucose [Mass/volume] in Urine                                                                                           ;=       ;10562     ;Glucose Konzentration.Sammelurin .Hexokinase                   ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
15076-3   ;Glucose [Moles/volume] in Urine                                                                                          ;=       ;10562     ;Glucose Konzentration.Sammelurin .Hexokinase                   ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
48999-7   ;Urea [Mass/time] in 24 hour Urine                                                                                        ;=       ;10565     ;Harnstoff Ausscheidung.Sammelurin .berechnet                   ;g/(24.h)       ;x*0.06005526           ;mmol/d    ;                        ;         ;
25550-5   ;Urea [Moles/time] in 24 hour Urine                                                                                       ;=       ;10565     ;Harnstoff Ausscheidung.Sammelurin .berechnet                   ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
3087-4    ;Urate [Mass/time] in 24 hour Urine                                                                                       ;=       ;10567     ;Harnsäure Ausscheidung.Sammelurin .berechnet                   ;g/(24.h)       ;x*0.16811026           ;mmol/d    ;                        ;         ;
14935-1   ;Urate [Moles/time] in 24 hour Urine                                                                                      ;=       ;10567     ;Harnsäure Ausscheidung.Sammelurin .berechnet                   ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
83116-4   ;Testosterone [Mass/volume] in Serum or Plasma by Immunoassay                                                             ;=       ;5384      ;Testosteron.Serum .ECLIA                                       ;ng/mL          ;x*1.0                  ;ng/ml     ;288,42442               ;         ;
83115-6   ;Testosterone [Moles/volume] in Serum or Plasma by Immunoassay                                                            ;=       ;5384      ;Testosteron.Serum .ECLIA                                       ;nmol/L         ;x*3.4671128054968436   ;ng/ml     ;288,42442               ;         ;
26881-3   ;Interleukin 6 [Mass/volume] in Serum or Plasma                                                                           ;=       ;5385      ;Interleukin 6.Li-Heparin .ECLIA                                ;pg/mL          ;x*1.0                  ;pg/ml     ;                        ;         ;
6799-1    ;Tricyclic antidepressants [Presence] in Urine by Immunoassay                                                             ;~       ;5389      ;Tricyclische Antidepressiva.Spontanurin .Chromatographie       ;               ;                       ;          ;                        ;         ;
4545-0    ;Hematocrit [Volume Fraction] of Blood by Centrifugation                                                                  ;=       ;351       ;Hämatokrit zentrifugiert.EDTA .zentrifugiert                   ;%              ;x*100.0                ;l/l       ;                        ;         ;
2614-6    ;Methemoglobin/Hemoglobin.total in Blood                                                                                  ;=       ;230       ;Methämoglobin.EDTA (NZ) .photometrisch                         ;%              ;x*1.0                  ;%         ;                        ;         ;
1754-1    ;Albumin [Mass/volume] in Urine                                                                                           ;=       ;594       ;Albumin Konzentration.Sammelurin .Nephelometrie                ;g/dL           ;x*1.0E-4               ;mg/l      ;66500                   ;         ;
20563-3   ;Carboxyhemoglobin/Hemoglobin.total in Blood                                                                              ;=       ;231       ;CO-Hb.EDTA (NZ) .photometrisch                                 ;%              ;x*1.0                  ;%         ;                        ;         ;
1755-8    ;Albumin [Mass/time] in 24 hour Urine                                                                                     ;=       ;595       ;Albumin Ausscheidung.Sammelurin .berechnet                     ;mg/(24.h)      ;x*1.0                  ;mg/d      ;66500                   ;         ;
76401-9   ;Albumin/Creatinine [Ratio] in 24 hour Urine                                                                              ;=       ;596       ;Albuminkonz. bez. auf Kreatinin.Sammelurin .berechnet          ;mg/mmol{creat} ;x*1.0                  ;g/mol K.  ;                        ;         ;
2466-1    ;IgG subclass 1 [Mass/volume] in Serum                                                                                    ;=       ;233       ;IgG 1 Subklasse.Serum .Nephelometrie                           ;mg/dL          ;x*100.0                ;g/l       ;                        ;         ;
2467-9    ;IgG subclass 2 [Mass/volume] in Serum                                                                                    ;=       ;234       ;IgG 2 Subklasse.Serum .Nephelometrie                           ;mg/dL          ;x*100.0                ;g/l       ;                        ;         ;
2465-3    ;IgG [Mass/volume] in Serum or Plasma                                                                                     ;=       ;597       ;IgG Konzentration.Sammelurin .Nephelometrie                    ;mg/dL          ;x*0.1                  ;mg/l      ;150000                  ;         ;
77177-4   ;IgG [Moles/volume] in Serum or Plasma                                                                                    ;=       ;597       ;IgG Konzentration.Sammelurin .Nephelometrie                    ;umol/L         ;x*0.006666666666666666 ;mg/l      ;150000                  ;         ;
2468-7    ;IgG subclass 3 [Mass/volume] in Serum                                                                                    ;=       ;235       ;IgG 3 Subklasse.Serum .Nephelometrie                           ;mg/dL          ;x*100.0                ;g/l       ;                        ;         ;
55923-7   ;IgG [Mass/time] in 24 hour Urine                                                                                         ;=       ;598       ;IgG Ausscheidung.Sammelurin .berechnet                         ;mg/(24.h)      ;x*1.0                  ;mg/d      ;150000                  ;         ;
26515-7   ;Platelets [#/volume] in Blood                                                                                            ;=       ;356       ;Thrombozyten Kammerzählung.EDTA .Mikroskopie                   ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
2469-5    ;IgG subclass 4 [Mass/volume] in Serum                                                                                    ;=       ;236       ;IgG 4 Subklasse.Serum .Nephelometrie                           ;mg/dL          ;x*100.0                ;g/l       ;                        ;         ;
33948-1   ;IgG/Creatinine [Mass Ratio] in Urine                                                                                     ;=       ;599       ;IgG bez. auf Kreatinin.Sammelurin .berechnet                   ;mg/g{creat}    ;x*8.8403354            ;g/mol K.  ;                        ;         ;
20448-7   ;Insulin [Units/volume] in Serum or Plasma                                                                                ;=       ;237       ;Insulin.Serum .CLIA                                            ;u[IU]/mL       ;x*1.0                  ;mU/l      ;                        ;         ;
2685-6    ;Alpha-1-acid glycoprotein [Mass/volume] in Serum or Plasma                                                               ;=       ;117       ;Alpha1 saures Glycoprotein.Li-Heparin .Nephelometrie           ;mg/dL          ;x*100.0                ;g/l       ;42000                   ;         ;
33781-6   ;Alpha-1-acid glycoprotein [Moles/volume] in Serum or Plasma                                                              ;=       ;117       ;Alpha1 saures Glycoprotein.Li-Heparin .Nephelometrie           ;umol/L         ;x*23.80952380952381    ;g/l       ;42000                   ;         ;
2840-7    ;Proinsulin [Mass/volume] in Serum or Plasma                                                                              ;=       ;238       ;Proinsulin.Serum .EIA                                          ;ug/dL          ;x*9.39E-4              ;pmol/l    ;9390                    ;         ;
27882-0   ;Proinsulin [Moles/volume] in Serum or Plasma                                                                             ;=       ;238       ;Proinsulin.Serum .EIA                                          ;pmol/L         ;x*1.0                  ;pmol/l    ;9390                    ;         ;
1835-8    ;Alpha-2-Macroglobulin [Mass/volume] in Serum or Plasma                                                                   ;=       ;118       ;Alpha2 Makroglobulin.Li-Heparin .Nephelometrie                 ;g/l            ;x*1.0                  ;g/l       ;                        ;         ;
2963-7    ;Somatotropin [Mass/volume] in Serum or Plasma                                                                            ;=       ;239       ;Wachstumshormon (HGH).Serum .CLIA                              ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
13995-6   ;Gamma globulin/Protein.total in Urine by Electrophoresis                                                                 ;=       ;5395      ;GammaGlobulin relativ.Sammelurin .Elektrophorese               ;%              ;x*1.0                  ;%         ;                        ;         ;
32307-1   ;Chloride [Moles/volume] in Unspecified specimen                                                                          ;=       ;361       ;Chlorid.Sondermaterial .Coulometrie                            ;mmol/L         ;x*1.0                  ;mmol/l    ;35,45                   ;         ;
33211-4   ;Interleukin 8 [Mass/volume] in Serum or Plasma                                                                           ;=       ;127       ;Interleukin 8.Li-Heparin .CLIA                                 ;pg/mL          ;x*1.0                  ;ng/l      ;                        ;         ;
35662-6   ;Glucose [Mass/volume] in Urine collected for unspecified duration                                                        ;=       ;370       ;Glucose.Sondermaterial .Glucose-Oxidase                        ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
74351-8   ;Glucose [Moles/volume] in Urine collected for unspecified duration                                                       ;=       ;370       ;Glucose.Sondermaterial .Glucose-Oxidase                        ;mmol/dL        ;x*0.0055507486072616675;mg/dl     ;180,15588               ;         ;
27820-0   ;Protein C Ag actual/normal in Platelet poor plasma by Immunoassay                                                        ;=       ;374       ;Protein C Antigen.Citrat .EIA                                  ;%              ;x*1.0                  ;%         ;                        ;         ;
80515-0   ;Immunoglobulin light chains.kappa.free [Mass/volume] in Serum by Nephelometry                                            ;=       ;133       ;Freie Kappa-Leichtketten.Serum .Nephelometrie                  ;mg/mL          ;x*0.001                ;mg/l      ;                        ;         ;
80516-8   ;Immunoglobulin light chains.lambda.free [Mass/volume] in Serum by Nephelometry                                           ;=       ;134       ;Freie Lambda-Leichtketten.Serum .Nephelometrie                 ;mg/mL          ;x*0.001                ;mg/l      ;                        ;         ;
48378-4   ;Immunoglobulin light chains.kappa.free/Immunoglobulin light chains.lambda.free [Mass Ratio] in Serum                     ;=       ;135       ;Quotient freie Kappa/Lambda-LK.Serum .berechnet                ;               ;x*1.0                  ;          ;                        ;         ;
28542-9   ;Platelet mean volume [Entitic volume] in Blood                                                                           ;=       ;499       ;MTV.EDTA .Widerstandsmessung                                   ;fL             ;x*1.0                  ;fl        ;                        ;         ;
23905-3   ;Mycophenolate [Mass/volume] in Serum or Plasma                                                                           ;>       ;139       ;Mycophenolsäure HPLC.EDTA (z) .HPLC                            ;ug/mL          ;x*1.0                  ;mg/l      ;433,501                 ;         ;
70211-8   ;Mycophenolate [Moles/volume] in Serum or Plasma                                                                          ;>       ;139       ;Mycophenolsäure HPLC.EDTA (z) .HPLC                            ;umol/L         ;x*2.3067997536337863   ;mg/l      ;433,501                 ;         ;
2998-3    ;Thiamine [Mass/volume] in Blood                                                                                          ;=       ;142       ;Vitamin B1.EDTA .HPLC                                          ;ug/dL          ;x*0.026535500000000004 ;nmol/l    ;265,355                 ;         ;
32554-8   ;Thiamine [Moles/volume] in Blood                                                                                         ;=       ;142       ;Vitamin B1.EDTA .HPLC                                          ;nmol/L         ;x*1.0                  ;nmol/l    ;265,355                 ;         ;
14182-0   ;Thrombin antithrombin complex Ag [Mass/volume] in Platelet poor plasma by Immunoassay                                    ;=       ;385       ;TAT-K (Thrombin/Antithrombinkom).Citrat .                      ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
74442-5   ;Pyridoxal phosphate [Moles/volume] in Blood                                                                              ;=       ;144       ;Vitamin B6.EDTA (NZ) .HPLC                                     ;umol/L         ;x*0.001                ;nmol/l    ;                        ;         ;
27823-4   ;Protein S Ag actual/normal in Platelet poor plasma by Immunoassay                                                        ;=       ;388       ;Protein S Antigen gesamt.Citrat .EIA                           ;%              ;x*1.0                  ;%         ;                        ;         ;
2502-3    ;Iron saturation [Mass Fraction] in Serum or Plasma                                                                       ;=       ;47        ;Eisensättigung.Li-Heparin .berechnet                           ;%              ;x*1.0                  ;%         ;                        ;         ;
3034-6    ;Transferrin [Mass/volume] in Serum or Plasma                                                                             ;=       ;10051     ;Transferrin.Li-Heparin .Turbidimetrie                          ;mg/dL          ;x*100.0                ;g/l       ;80000                   ;         ;
22674-6   ;Transferrin [Moles/volume] in Serum or Plasma                                                                            ;=       ;10051     ;Transferrin.Li-Heparin .Turbidimetrie                          ;umol/L         ;x*12.5                 ;g/l       ;80000                   ;         ;
35669-1   ;Amikacin [Mass/volume] in Serum or Plasma                                                                                ;=       ;10171     ;Amikacin.Li-Heparin .Turbidimetrie                             ;mg/L           ;x*1.0                  ;mg/l      ;585,608                 ;         ;
56628-1   ;Amikacin [Moles/volume] in Serum or Plasma                                                                               ;=       ;10171     ;Amikacin.Li-Heparin .Turbidimetrie                             ;umol/L         ;x*1.7076269449870907   ;mg/l      ;585,608                 ;         ;
30248-9   ;Transferrin receptor.soluble [Mass/volume] in Serum or Plasma                                                            ;=       ;10050     ;Löslicher Transferrin-Rezeptor.Li-Heparin .Turbidimetrie       ;mg/L           ;x*1.0                  ;mg/l      ;84000                   ;         ;
33210-6   ;Transferrin receptor.soluble [Moles/volume] in Serum or Plasma                                                           ;=       ;10050     ;Löslicher Transferrin-Rezeptor.Li-Heparin .Turbidimetrie       ;nmol/L         ;x*11.904761904761905   ;mg/l      ;84000                   ;         ;
5197-9    ;Hepatitis B virus surface Ag [Presence] in Serum by Radioimmunoassay (RIA)                                               ;=       ;10053     ;HBs-Antigen.Serum .ECLIA                                       ;               ;                       ;          ;                        ;         ;
5196-1    ;Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay                                                ;=       ;10052     ;HBs-Antigen.Li-Heparin .ECLIA                                  ;               ;                       ;          ;                        ;         ;
17856-6   ;Hemoglobin A1c/Hemoglobin.total in Blood by HPLC                                                                         ;=       ;159       ;HbA1c (NGSP-Standardisierung).EDTA (NZ) .HPLC                  ;%              ;x*1.0                  ;%         ;                        ;         ;
75241-0   ;Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay                                                            ;=       ;10054     ;Procalcitonin (Roche).Li-Heparin .ECLIA                        ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
5370-2    ;Streptolysin O Ab [Units/volume] in Serum or Plasma                                                                      ;=       ;10057     ;Antistreptolysin O.Li-Heparin .Turbidimetrie                   ;[IU]/mL        ;x*1.0                  ;U/ml      ;                        ;         ;
29146-8   ;Alpha 1 antitrypsin [Mass/volume] in Body fluid                                                                          ;=       ;10056     ;Alpha1-Antitrypsin.Li-Heparin .Turbidimetrie                   ;mg/dL          ;x*100.0                ;g/l       ;44324,5                 ;         ;
1884-6    ;Apolipoprotein B [Mass/volume] in Serum or Plasma                                                                        ;=       ;10059     ;Apolipoprotein B.Li-Heparin .Turbidimetrie                     ;mg/dL          ;x*1.0                  ;mg/dl     ;550000                  ;         ;
76482-9   ;Apolipoprotein B [Moles/volume] in Serum or Plasma                                                                       ;=       ;10059     ;Apolipoprotein B.Li-Heparin .Turbidimetrie                     ;umol/L         ;x*0.01818181818181818  ;mg/dl     ;550000                  ;         ;
1869-7    ;Apolipoprotein A-I [Mass/volume] in Serum or Plasma                                                                      ;=       ;10058     ;Apolipoprotein A1.Li-Heparin .Turbidimetrie                    ;g/L            ;x*0.01                 ;mg/dl     ;30778                   ;         ;
76483-7   ;Apolipoprotein A-I [Moles/volume] in Serum or Plasma                                                                     ;=       ;10058     ;Apolipoprotein A1.Li-Heparin .Turbidimetrie                    ;umol/L         ;x*0.32490740139060365  ;mg/dl     ;30778                   ;         ;
83107-3   ;Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay                              ;=       ;53        ;NT-proBNP.Li-Heparin .ECLIA                                    ;pg/mL          ;x*1.0                  ;pg/ml     ;8457,4                  ;         ;
83108-1   ;Natriuretic peptide.B prohormone N-Terminal [Moles/volume] in Serum or Plasma by Immunoassay                             ;=       ;53        ;NT-proBNP.Li-Heparin .ECLIA                                    ;pmol/L         ;x*0.1182396481188072   ;pg/ml     ;8457,4                  ;         ;
2064-4    ;Ceruloplasmin [Mass/volume] in Serum or Plasma                                                                           ;=       ;10060     ;Coeruloplasmin.Li-Heparin .Turbidimetrie                       ;mg/dL          ;x*100.0                ;g/l       ;1632,854                ;         ;
47600-2   ;Ceruloplasmin [Moles/volume] in Serum or Plasma                                                                          ;=       ;10060     ;Coeruloplasmin.Li-Heparin .Turbidimetrie                       ;umol/L         ;x*612.4246258391748    ;g/l       ;1632,854                ;         ;
14338-8   ;Prealbumin [Mass/volume] in Serum or Plasma                                                                              ;=       ;10062     ;Präalbumin.Li-Heparin .Turbidimetrie                           ;g/dL           ;x*0.1                  ;g/l       ;55000                   ;         ;
77192-3   ;Prealbumin [Moles/volume] in Serum or Plasma                                                                             ;=       ;10062     ;Präalbumin.Li-Heparin .Turbidimetrie                           ;umol/L         ;x*18.181818181818183   ;g/l       ;55000                   ;         ;
51002-4   ;Lipoprotein midband A [Mass/volume] in Serum or Plasma                                                                   ;=       ;10061     ;Lipoprotein (a).Li-Heparin .Turbidimetrie                      ;mg/dL          ;x*1.0                  ;mg/dl     ;                        ;         ;
1952-1    ;Beta-2-Microglobulin [Mass/volume] in Serum or Plasma                                                                    ;=       ;10064     ;ß2-Mikroglobulin.Li-Heparin .Turbidimetrie                     ;ug/mL          ;x*1.0                  ;mg/l      ;13715                   ;         ;
76484-5   ;Beta-2-Microglobulin [Moles/volume] in Serum or Plasma                                                                   ;=       ;10064     ;ß2-Mikroglobulin.Li-Heparin .Turbidimetrie                     ;nmol/L         ;x*72.91286912139992    ;mg/l      ;13715                   ;         ;
11572-5   ;Rheumatoid factor [Units/volume] in Serum or Plasma                                                                      ;=       ;10063     ;Rheumafaktor.Li-Heparin .Turbidimetrie                         ;[IU]/mL        ;x*1.0                  ;U/ml      ;                        ;         ;
13980-8   ;Albumin/Protein.total in Serum or Plasma by Electrophoresis                                                              ;=       ;284       ;Albumin relativ.Serum .Elektrophorese                          ;%              ;x*1.0                  ;%         ;                        ;         ;
13978-2   ;Alpha 1 globulin/Protein.total in Serum or Plasma by Electrophoresis                                                     ;=       ;286       ;Alpha1-Globulin relativ.Serum .Elektrophorese                  ;%              ;x*1.0                  ;%         ;                        ;         ;
13981-6   ;Alpha 2 globulin/Protein.total in Serum or Plasma by Electrophoresis                                                     ;=       ;288       ;Alpha2-Globulin relativ.Serum .Elektrophorese                  ;%              ;x*1.0                  ;%         ;                        ;         ;
3432-2    ;Carbamazepine [Mass/volume] in Serum or Plasma                                                                           ;=       ;10152     ;Carbamazepin.Li-Heparin .Turbidimetrie                         ;ug/mL          ;x*1.0                  ;mg/l      ;236,26858               ;         ;
14639-9   ;Carbamazepine [Moles/volume] in Serum or Plasma                                                                          ;=       ;10152     ;Carbamazepin.Li-Heparin .Turbidimetrie                         ;umol/L         ;x*4.232471367966066    ;mg/l      ;236,26858               ;         ;
2085-9    ;Cholesterol in HDL [Mass/volume] in Serum or Plasma                                                                      ;=       ;10031     ;HDL-Cholesterin.Li-Heparin .photometrisch                      ;mg/dL          ;x*38.66535400000001    ;mmol/l    ;386,65354               ;         ;
14646-4   ;Cholesterol in HDL [Moles/volume] in Serum or Plasma                                                                     ;=       ;10031     ;HDL-Cholesterin.Li-Heparin .photometrisch                      ;mmol/L         ;x*1.0                  ;mmol/l    ;386,65354               ;         ;
32664-5   ;Ammonia [Mass/volume] in Blood                                                                                           ;=       ;10151     ;Ammoniak.EDTA (z) .photometrisch                               ;ug/mL          ;x*0.017030999999999998 ;µmol/l    ;17,031                  ;         ;
1839-0    ;Ammonia [Moles/volume] in Blood                                                                                          ;=       ;10151     ;Ammoniak.EDTA (z) .photometrisch                               ;umol/L         ;x*1.0                  ;µmol/l    ;17,031                  ;         ;
2089-1    ;Cholesterol in LDL [Mass/volume] in Serum or Plasma                                                                      ;=       ;10030     ;LDL-Cholesterin (Direktmessung).Li-Heparin .photometrisch      ;mg/dL          ;x*38.66535400000001    ;mmol/l    ;386,65354               ;         ;
22748-8   ;Cholesterol in LDL [Moles/volume] in Serum or Plasma                                                                     ;=       ;10030     ;LDL-Cholesterin (Direktmessung).Li-Heparin .photometrisch      ;mmol/L         ;x*1.0                  ;mmol/l    ;386,65354               ;         ;
13982-4   ;Beta globulin/Protein.total in Serum or Plasma by Electrophoresis                                                        ;=       ;290       ;Beta-Globulin relativ.Serum .Elektrophorese                    ;%              ;x*1.0                  ;%         ;                        ;         ;
13983-2   ;Gamma globulin/Protein.total in Serum or Plasma by Electrophoresis                                                       ;=       ;292       ;Gamma-Globulin relativ.Serum .Elektrophorese                   ;%              ;x*1.0                  ;%         ;                        ;         ;
4679-7    ;Reticulocytes/100 erythrocytes in Blood                                                                                  ;=       ;298       ;Reticulozyten relativ.EDTA .berechnet                          ;%              ;x*1.0                  ;%         ;                        ;         ;
60474-4   ;Reticulocytes [#/volume] in Blood by Automated count                                                                     ;=       ;299       ;Reticulozyten absolut.EDTA .optisch, Lasertechnol.             ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
3298-7    ;Acetaminophen [Mass/volume] in Serum or Plasma                                                                           ;=       ;10154     ;Paracetamol.Li-Heparin .photometrisch                          ;ug/mL          ;x*1.0                  ;mg/l      ;151,16256               ;         ;
